,Index,v/vc,P/Pc
0,0,2.8083339989712046,0.7524249758031882
1,1,2.2017538165646013,0.8410563187971095
2,2,3.0868049103053306,0.7091145959068881
3,3,2.9817794088156218,0.7207210250803322
4,4,2.789185594995065,0.7418962803308911
5,5,2.704060447719336,0.7510253976969962
6,6,2.6266221893020245,0.7590754034415933
7,7,2.558174668835515,0.7658198391907303
8,8,2.5565996220953617,0.7660392386546994
9,9,2.4957689461030044,0.7716396333958156
10,10,2.4943342491733875,0.771837532935583
11,11,2.49289955224377,0.7720354324753506
12,12,2.439508728565871,0.7764971842937011
13,13,2.43821382768902,0.7766738521558113
14,14,2.436918926812169,0.7768505200179214
15,15,2.435624025935318,0.7770271878800316
16,16,2.2660666232305875,0.7886666666666665
